,Correlations,Quantity,Name,Centrality,Length
1,-0.02892074657370511,Curvature,Curve 18,max,Length 200
2,-0.10126071918492732,Density,Curve 18,max,Length 200
0,-0.03291215503982454,Torsion,Curve 18,linear,Length 200
1,-0.10708977513200639,Curvature,Curve 18,linear,Length 200
2,-0.25265472019827134,Density,Curve 18,linear,Length 200
0,0.01422878583708224,Torsion,Curve 19,max,Length 200
1,-0.12134054660480728,Curvature,Curve 19,max,Length 200
2,0.33106093929494584,Density,Curve 19,max,Length 200
0,0.04729010304453106,Torsion,Curve 19,linear,Length 200
1,-0.02543292695594856,Curvature,Curve 19,linear,Length 200
2,-0.12380574574893759,Density,Curve 19,linear,Length 200
0,-0.023851216608350715,Torsion,Curve 20,max,Length 200
1,-0.05382876145149025,Curvature,Curve 20,max,Length 200
2,0.43199781919293095,Density,Curve 20,max,Length 200
0,-0.023528853211608292,Torsion,Curve 20,linear,Length 200
1,-0.04225199773594465,Curvature,Curve 20,linear,Length 200
2,0.3784269233861132,Density,Curve 20,linear,Length 200
0,0.059308683333204416,Torsion,Curve 21,max,Length 200
1,-0.22262416356524864,Curvature,Curve 21,max,Length 200
2,0.2468958021538826,Density,Curve 21,max,Length 200
0,0.08502505829666633,Torsion,Curve 21,linear,Length 200
1,-0.0770587698737505,Curvature,Curve 21,linear,Length 200
2,-0.11468367866593165,Density,Curve 21,linear,Length 200
0,0.04930653869197956,Torsion,Curve 22,max,Length 200
1,-0.09038078364336956,Curvature,Curve 22,max,Length 200
2,0.18998042702716392,Density,Curve 22,max,Length 200
0,0.03332079101100951,Torsion,Curve 22,linear,Length 200
1,-0.05083203005682455,Curvature,Curve 22,linear,Length 200
2,-0.030929648911366178,Density,Curve 22,linear,Length 200
0,-0.03613961454238959,Torsion,Curve 23,max,Length 200
1,-0.015224839382770736,Curvature,Curve 23,max,Length 200
2,0.24414450819737965,Density,Curve 23,max,Length 200
0,-0.04906467434981207,Torsion,Curve 23,linear,Length 200
1,-0.03829597395743998,Curvature,Curve 23,linear,Length 200
2,0.04502188257076559,Density,Curve 23,linear,Length 200
0,0.07061879722278933,Torsion,Curve 24,max,Length 200
1,-0.12348873518966186,Curvature,Curve 24,max,Length 200
2,0.18430865334217522,Density,Curve 24,max,Length 200
0,-0.02440707523005791,Torsion,Curve 24,linear,Length 200
1,-0.053050765834466135,Curvature,Curve 24,linear,Length 200
2,0.04593847628718918,Density,Curve 24,linear,Length 200
0,0.16385718391087023,Torsion,Curve 25,max,Length 200
1,-0.06197931479444645,Curvature,Curve 25,max,Length 200
2,0.2501363640990159,Density,Curve 25,max,Length 200
0,0.23903649736557267,Torsion,Curve 25,linear,Length 200
1,-0.04321493685984105,Curvature,Curve 25,linear,Length 200
2,0.16617790495344315,Density,Curve 25,linear,Length 200
0,-0.09867445109372341,Torsion,Curve 26,max,Length 200
1,-0.22538528153262374,Curvature,Curve 26,max,Length 200
2,0.41055493206261456,Density,Curve 26,max,Length 200
0,0.026363078199021592,Torsion,Curve 26,linear,Length 200
1,-0.02449606372107289,Curvature,Curve 26,linear,Length 200
2,0.03805531124210562,Density,Curve 26,linear,Length 200
0,0.20211228508937493,Torsion,Curve 27,max,Length 200
1,-0.11048336175779087,Curvature,Curve 27,max,Length 200
2,0.18672894971676204,Density,Curve 27,max,Length 200
0,0.25000760506293357,Torsion,Curve 27,linear,Length 200
1,-0.03243585113729307,Curvature,Curve 27,linear,Length 200
2,-0.22361899340198504,Density,Curve 27,linear,Length 200
0,0.09821993472914585,Torsion,Curve 28,max,Length 200
1,-0.04557342893035423,Curvature,Curve 28,max,Length 200
2,0.35567450485331437,Density,Curve 28,max,Length 200
0,0.3191738456705595,Torsion,Curve 28,linear,Length 200
1,-0.053446074464709684,Curvature,Curve 28,linear,Length 200
2,-0.1846416349316583,Density,Curve 28,linear,Length 200
0,-0.09467722568216941,Torsion,Curve 29,max,Length 200
1,-0.07255951977636853,Curvature,Curve 29,max,Length 200
2,0.2749574439755473,Density,Curve 29,max,Length 200
0,-0.028350530872233798,Torsion,Curve 29,linear,Length 200
1,-0.04778132707597786,Curvature,Curve 29,linear,Length 200
2,-0.1759878506182435,Density,Curve 29,linear,Length 200
0,-0.014032727021350515,Torsion,Curve 30,max,Length 200
1,-0.02036673983735497,Curvature,Curve 30,max,Length 200
2,0.35677599247329145,Density,Curve 30,max,Length 200
0,0.08427238110512855,Torsion,Curve 30,linear,Length 200
1,-0.07105197702064737,Curvature,Curve 30,linear,Length 200
2,-0.15176156330573917,Density,Curve 30,linear,Length 200
0,0.05913380803693839,Torsion,Curve 31,max,Length 200
1,-0.05976429339450545,Curvature,Curve 31,max,Length 200
2,0.23244480581165328,Density,Curve 31,max,Length 200
0,-0.010035104045666255,Torsion,Curve 31,linear,Length 200
1,-0.048920178624839605,Curvature,Curve 31,linear,Length 200
2,-0.07570605239340673,Density,Curve 31,linear,Length 200
0,0.09898644453541705,Torsion,Curve 32,max,Length 200
1,-0.07496980493388007,Curvature,Curve 32,max,Length 200
2,0.37989673336951046,Density,Curve 32,max,Length 200
0,-0.004942048620308814,Torsion,Curve 32,linear,Length 200
1,-0.07128233422013655,Curvature,Curve 32,linear,Length 200
2,-0.11567670803714614,Density,Curve 32,linear,Length 200
0,0.1022982770426141,Torsion,Curve 33,max,Length 200
1,-0.0034940401751512693,Curvature,Curve 33,max,Length 200
2,0.18867846322065712,Density,Curve 33,max,Length 200
0,-0.07745175324183277,Torsion,Curve 33,linear,Length 200
1,-0.015601083606878645,Curvature,Curve 33,linear,Length 200
2,0.13409179001204602,Density,Curve 33,linear,Length 200
0,-0.1439861730125974,Torsion,Curve 34,max,Length 200
1,-0.1304326981985601,Curvature,Curve 34,max,Length 200
2,0.3604695878768557,Density,Curve 34,max,Length 200
0,-0.016930781605007866,Torsion,Curve 34,linear,Length 200
1,-0.03720870300159169,Curvature,Curve 34,linear,Length 200
2,0.36414662605031456,Density,Curve 34,linear,Length 200
0,0.1071069600156158,Torsion,Curve 35,max,Length 200
1,-0.14173966812692396,Curvature,Curve 35,max,Length 200
2,0.37923205444722763,Density,Curve 35,max,Length 200
0,0.0919950518598972,Torsion,Curve 35,linear,Length 200
1,-0.020630304001026153,Curvature,Curve 35,linear,Length 200
2,0.33791814303697915,Density,Curve 35,linear,Length 200
0,-0.0016716948759935477,Torsion,Curve 36,max,Length 200
1,-0.15746452296157762,Curvature,Curve 36,max,Length 200
2,0.19083203924391284,Density,Curve 36,max,Length 200
0,0.1265749551444266,Torsion,Curve 36,linear,Length 200
1,-0.08859801916287838,Curvature,Curve 36,linear,Length 200
2,0.020046201669327655,Density,Curve 36,linear,Length 200
0,0.10311552025988316,Torsion,Curve 37,max,Length 200
1,-0.17392220558309815,Curvature,Curve 37,max,Length 200
2,0.18568590133696802,Density,Curve 37,max,Length 200
0,-0.05905745250467011,Torsion,Curve 37,linear,Length 200
1,-0.04494804672315079,Curvature,Curve 37,linear,Length 200
2,0.21767653353001085,Density,Curve 37,linear,Length 200
0,-0.02183663128364715,Torsion,Curve 38,max,Length 200
1,-0.1394683698655236,Curvature,Curve 38,max,Length 200
2,0.14104879564161973,Density,Curve 38,max,Length 200
0,-0.11796337405185993,Torsion,Curve 38,linear,Length 200
1,-0.031472671542262916,Curvature,Curve 38,linear,Length 200
2,0.02671315467647217,Density,Curve 38,linear,Length 200
0,0.11373911111734189,Torsion,Curve 39,max,Length 200
1,-0.18117263457177363,Curvature,Curve 39,max,Length 200
2,0.2866846069710113,Density,Curve 39,max,Length 200
0,0.07111672389466818,Torsion,Curve 39,linear,Length 200
1,-0.050540100348022386,Curvature,Curve 39,linear,Length 200
2,-0.11374995404829774,Density,Curve 39,linear,Length 200
0,0.18354712665651585,Torsion,Curve 40,max,Length 200
1,-0.1998542169449696,Curvature,Curve 40,max,Length 200
2,0.12789177964836515,Density,Curve 40,max,Length 200
0,0.008720248400635146,Torsion,Curve 40,linear,Length 200
1,-0.058655130611094494,Curvature,Curve 40,linear,Length 200
2,-0.016706850342700433,Density,Curve 40,linear,Length 200
0,0.07805256657160313,Torsion,Curve 41,max,Length 200
1,-0.018671652059926196,Curvature,Curve 41,max,Length 200
2,0.10027397693215678,Density,Curve 41,max,Length 200
0,0.1331771411735987,Torsion,Curve 41,linear,Length 200
1,-0.08608101009318696,Curvature,Curve 41,linear,Length 200
2,-0.231591972836186,Density,Curve 41,linear,Length 200
0,0.1146673627785796,Torsion,Curve 42,max,Length 200
1,-0.09977510036082052,Curvature,Curve 42,max,Length 200
2,0.17750072160658636,Density,Curve 42,max,Length 200
0,0.17965959992227276,Torsion,Curve 42,linear,Length 200
1,-0.024847745618254185,Curvature,Curve 42,linear,Length 200
2,0.07250328592177445,Density,Curve 42,linear,Length 200
0,0.07808819142788077,Torsion,Curve 43,max,Length 200
1,-0.03761514716729991,Curvature,Curve 43,max,Length 200
2,0.346263138704774,Density,Curve 43,max,Length 200
0,0.05756046690560043,Torsion,Curve 43,linear,Length 200
1,-0.017529695542839972,Curvature,Curve 43,linear,Length 200
2,-0.0011718050829741275,Density,Curve 43,linear,Length 200
0,0.05013242378876796,Torsion,Curve 44,max,Length 200
1,-0.19963415461728862,Curvature,Curve 44,max,Length 200
2,0.4201721389577791,Density,Curve 44,max,Length 200
0,-0.13785286779358213,Torsion,Curve 44,linear,Length 200
1,-0.0451458346593493,Curvature,Curve 44,linear,Length 200
2,0.30425539335098856,Density,Curve 44,linear,Length 200
0,0.11258629330012643,Torsion,Curve 45,max,Length 200
1,-0.08915584303909935,Curvature,Curve 45,max,Length 200
2,-0.059641107723836406,Density,Curve 45,max,Length 200
0,0.1851372127438195,Torsion,Curve 45,linear,Length 200
1,-0.1318893964181142,Curvature,Curve 45,linear,Length 200
2,-0.23599763954181652,Density,Curve 45,linear,Length 200
0,0.24207057927931933,Torsion,Curve 46,max,Length 200
1,-0.27412767165695334,Curvature,Curve 46,max,Length 200
2,0.04668070185369506,Density,Curve 46,max,Length 200
0,0.09784653086193609,Torsion,Curve 46,linear,Length 200
1,-0.03541707095856118,Curvature,Curve 46,linear,Length 200
2,-0.22041893380420413,Density,Curve 46,linear,Length 200
0,0.08008464283096817,Torsion,Curve 47,max,Length 200
1,-0.04429876755993835,Curvature,Curve 47,max,Length 200
2,0.4106909067816837,Density,Curve 47,max,Length 200
0,0.02921728701317489,Torsion,Curve 47,linear,Length 200
1,-0.0634664214096911,Curvature,Curve 47,linear,Length 200
2,0.2939986491282153,Density,Curve 47,linear,Length 200
0,0.08398383487640523,Torsion,Curve 48,max,Length 200
1,-0.1626449277394897,Curvature,Curve 48,max,Length 200
2,0.17231614115369662,Density,Curve 48,max,Length 200
0,0.09653253407294438,Torsion,Curve 48,linear,Length 200
1,-0.037534108255066916,Curvature,Curve 48,linear,Length 200
2,0.12137192712200415,Density,Curve 48,linear,Length 200
0,0.1016984114422424,Torsion,Curve 49,max,Length 200
1,-0.17335479108246896,Curvature,Curve 49,max,Length 200
2,0.2733938641210584,Density,Curve 49,max,Length 200
0,0.0033583716939479214,Torsion,Curve 49,linear,Length 200
1,0.0067732273761999,Curvature,Curve 49,linear,Length 200
2,-0.1594512575598863,Density,Curve 49,linear,Length 200
0,-0.13119970293659797,Torsion,Curve 50,max,Length 200
1,-0.03812147252615816,Curvature,Curve 50,max,Length 200
2,0.29827138368987394,Density,Curve 50,max,Length 200
0,-0.04961604336197859,Torsion,Curve 50,linear,Length 200
1,-0.038869190690558206,Curvature,Curve 50,linear,Length 200
2,0.09764196498143846,Density,Curve 50,linear,Length 200
0,0.07615079658378086,Torsion,Curve 51,max,Length 200
1,-0.1826080403496854,Curvature,Curve 51,max,Length 200
2,0.2358422647920244,Density,Curve 51,max,Length 200
0,-0.028402611849033435,Torsion,Curve 51,linear,Length 200
1,-0.07615709505875694,Curvature,Curve 51,linear,Length 200
2,0.3252067361331329,Density,Curve 51,linear,Length 200
0,0.2220026778367413,Torsion,Curve 52,max,Length 200
1,-0.18536007371173072,Curvature,Curve 52,max,Length 200
2,0.13624059487854068,Density,Curve 52,max,Length 200
0,-0.008085866340711206,Torsion,Curve 52,linear,Length 200
1,-0.05697756964369869,Curvature,Curve 52,linear,Length 200
2,0.0350306605269406,Density,Curve 52,linear,Length 200
0,0.08740198294105411,Torsion,Curve 53,max,Length 200
1,-0.13863703472475497,Curvature,Curve 53,max,Length 200
2,0.2202990399287061,Density,Curve 53,max,Length 200
0,0.014777289460121463,Torsion,Curve 53,linear,Length 200
1,-0.10650014481086359,Curvature,Curve 53,linear,Length 200
2,0.1990339258256478,Density,Curve 53,linear,Length 200
0,-0.10488453785908006,Torsion,Curve 54,max,Length 200
1,-0.1266584090624654,Curvature,Curve 54,max,Length 200
2,0.3211982790186735,Density,Curve 54,max,Length 200
0,0.0088469303250194,Torsion,Curve 54,linear,Length 200
1,-0.0531561708678737,Curvature,Curve 54,linear,Length 200
2,0.11713142748507789,Density,Curve 54,linear,Length 200
0,0.03746455200510473,Torsion,Curve 55,max,Length 200
1,-0.049321317329773406,Curvature,Curve 55,max,Length 200
2,0.3245320389045346,Density,Curve 55,max,Length 200
0,-0.038776152061777217,Torsion,Curve 55,linear,Length 200
1,-0.028611654750894507,Curvature,Curve 55,linear,Length 200
2,0.1662466767186866,Density,Curve 55,linear,Length 200
0,0.11200620531824453,Torsion,Curve 56,max,Length 200
1,-0.01130776238321933,Curvature,Curve 56,max,Length 200
2,-0.16641257989477323,Density,Curve 56,max,Length 200
0,0.0798756097435027,Torsion,Curve 56,linear,Length 200
1,-0.08505119679680541,Curvature,Curve 56,linear,Length 200
2,-0.27766200146608955,Density,Curve 56,linear,Length 200
0,0.08778190559999875,Torsion,Curve 57,max,Length 200
1,-0.18055154711414645,Curvature,Curve 57,max,Length 200
2,0.12822939394448085,Density,Curve 57,max,Length 200
0,0.009773325124000476,Torsion,Curve 57,linear,Length 200
1,-0.12760962014076824,Curvature,Curve 57,linear,Length 200
2,-0.206786025584501,Density,Curve 57,linear,Length 200
0,0.10559960953605582,Torsion,Curve 58,max,Length 200
1,-0.14922549693972217,Curvature,Curve 58,max,Length 200
2,-0.08629845486537722,Density,Curve 58,max,Length 200
0,0.08843130922849121,Torsion,Curve 58,linear,Length 200
1,-0.04167233584207084,Curvature,Curve 58,linear,Length 200
2,-0.03326274277224765,Density,Curve 58,linear,Length 200
0,0.014579438287407329,Torsion,Curve 59,max,Length 200
1,-0.04651608954374159,Curvature,Curve 59,max,Length 200
2,0.5089671487983787,Density,Curve 59,max,Length 200
0,-0.01342239183376527,Torsion,Curve 59,linear,Length 200
1,-0.07245985318740016,Curvature,Curve 59,linear,Length 200
2,0.284815986199574,Density,Curve 59,linear,Length 200
0,0.05840653745070937,Torsion,Curve 60,max,Length 200
1,-0.15637161072442388,Curvature,Curve 60,max,Length 200
2,0.4544082151506639,Density,Curve 60,max,Length 200
0,0.014819166666725076,Torsion,Curve 60,linear,Length 200
1,-0.034446272563344336,Curvature,Curve 60,linear,Length 200
2,0.47807584165821626,Density,Curve 60,linear,Length 200
0,0.046017913733797496,Torsion,Curve 61,max,Length 200
1,-0.211094948509523,Curvature,Curve 61,max,Length 200
2,0.40033382425059505,Density,Curve 61,max,Length 200
0,-0.1355165573190602,Torsion,Curve 61,linear,Length 200
1,-0.05374934446409536,Curvature,Curve 61,linear,Length 200
2,0.3044196015619377,Density,Curve 61,linear,Length 200
0,0.22535868306277587,Torsion,Curve 62,max,Length 200
1,-0.076271085832911,Curvature,Curve 62,max,Length 200
2,-0.07362009564491659,Density,Curve 62,max,Length 200
0,0.17230271760840088,Torsion,Curve 62,linear,Length 200
1,-0.09246974799395231,Curvature,Curve 62,linear,Length 200
2,-0.4107883600500228,Density,Curve 62,linear,Length 200
0,0.07528500893425323,Torsion,Curve 63,max,Length 200
1,-0.05673518818151833,Curvature,Curve 63,max,Length 200
2,0.1457234577140103,Density,Curve 63,max,Length 200
0,-0.00790584730775892,Torsion,Curve 63,linear,Length 200
1,-0.04491548938746073,Curvature,Curve 63,linear,Length 200
2,-0.12987078651321804,Density,Curve 63,linear,Length 200
0,0.09141738154748634,Torsion,Curve 64,max,Length 200
1,0.03612664632791767,Curvature,Curve 64,max,Length 200
2,0.4776265383200018,Density,Curve 64,max,Length 200
0,0.017674157445331577,Torsion,Curve 64,linear,Length 200
1,-0.05919337440232557,Curvature,Curve 64,linear,Length 200
2,0.09177780741657436,Density,Curve 64,linear,Length 200
0,-0.0203300294576845,Torsion,Curve 65,max,Length 200
1,-0.16767398139879108,Curvature,Curve 65,max,Length 200
2,0.3442454070253276,Density,Curve 65,max,Length 200
0,-0.0568799987386454,Torsion,Curve 65,linear,Length 200
1,-0.04035049875284168,Curvature,Curve 65,linear,Length 200
2,0.16808085956065671,Density,Curve 65,linear,Length 200
0,-0.09520889546639968,Torsion,Curve 66,max,Length 200
1,-0.23922555045588076,Curvature,Curve 66,max,Length 200
2,0.28883245509852934,Density,Curve 66,max,Length 200
0,-0.0017741988591697773,Torsion,Curve 66,linear,Length 200
1,-0.08580892727865516,Curvature,Curve 66,linear,Length 200
2,-0.11690246303842397,Density,Curve 66,linear,Length 200
0,-0.06167052024125001,Torsion,Curve 67,max,Length 200
1,-0.05082709532382496,Curvature,Curve 67,max,Length 200
2,0.24657832059532767,Density,Curve 67,max,Length 200
0,-0.0328172178004753,Torsion,Curve 67,linear,Length 200
1,-0.04091536536286957,Curvature,Curve 67,linear,Length 200
2,0.2509476286092564,Density,Curve 67,linear,Length 200
0,0.10051882897356423,Torsion,Curve 68,max,Length 200
1,-0.09415772465012542,Curvature,Curve 68,max,Length 200
2,0.16129397737621942,Density,Curve 68,max,Length 200
0,0.05043857799601054,Torsion,Curve 68,linear,Length 200
1,-0.056727569663066996,Curvature,Curve 68,linear,Length 200
2,0.21311717428193624,Density,Curve 68,linear,Length 200
0,0.15733321464160457,Torsion,Curve 69,max,Length 200
1,-0.1899839345141243,Curvature,Curve 69,max,Length 200
2,0.07725393053345438,Density,Curve 69,max,Length 200
0,-0.02596904973921752,Torsion,Curve 69,linear,Length 200
1,-0.10275624857015915,Curvature,Curve 69,linear,Length 200
2,-0.18241409014321608,Density,Curve 69,linear,Length 200
0,0.1396865039069592,Torsion,Curve 70,max,Length 200
1,-0.08699941046265865,Curvature,Curve 70,max,Length 200
2,0.2019543763608883,Density,Curve 70,max,Length 200
0,0.22784049656071192,Torsion,Curve 70,linear,Length 200
1,-0.0329319873879379,Curvature,Curve 70,linear,Length 200
2,-0.033667775891367616,Density,Curve 70,linear,Length 200
0,0.08122570154740259,Torsion,Curve 71,max,Length 200
1,-0.03981534490203959,Curvature,Curve 71,max,Length 200
2,0.07840554334033749,Density,Curve 71,max,Length 200
0,-0.014451727855065563,Torsion,Curve 71,linear,Length 200
1,-0.06854219369811433,Curvature,Curve 71,linear,Length 200
2,-0.09147695711853175,Density,Curve 71,linear,Length 200
0,0.12043255386794768,Torsion,Curve 72,max,Length 200
1,-0.293485008014175,Curvature,Curve 72,max,Length 200
2,0.07443610302748133,Density,Curve 72,max,Length 200
0,0.01583103407435754,Torsion,Curve 72,linear,Length 200
1,-0.10963636727415267,Curvature,Curve 72,linear,Length 200
2,-0.02822814698943334,Density,Curve 72,linear,Length 200
0,-0.06350394757193235,Torsion,Curve 73,max,Length 200
1,-0.19273389238121463,Curvature,Curve 73,max,Length 200
2,0.3673831533756612,Density,Curve 73,max,Length 200
0,-0.08629677850175207,Torsion,Curve 73,linear,Length 200
1,-0.06453004442546743,Curvature,Curve 73,linear,Length 200
2,0.22518293678095344,Density,Curve 73,linear,Length 200
0,0.22225577300355084,Torsion,Curve 74,max,Length 200
1,-0.11274768280883839,Curvature,Curve 74,max,Length 200
2,0.2771123792035421,Density,Curve 74,max,Length 200
0,0.16425599818926434,Torsion,Curve 74,linear,Length 200
1,-0.02086769108497364,Curvature,Curve 74,linear,Length 200
2,0.0666599305549604,Density,Curve 74,linear,Length 200
0,0.07962557609783631,Torsion,Curve 75,max,Length 200
1,-0.2140855260565391,Curvature,Curve 75,max,Length 200
2,0.12415113463811138,Density,Curve 75,max,Length 200
0,0.04643724883554968,Torsion,Curve 75,linear,Length 200
1,-0.020824284938846114,Curvature,Curve 75,linear,Length 200
2,-0.07377120950194185,Density,Curve 75,linear,Length 200
0,0.11065967628163488,Torsion,Curve 76,max,Length 200
1,-0.09063132032626786,Curvature,Curve 76,max,Length 200
2,0.09241011041254717,Density,Curve 76,max,Length 200
0,0.05660045569260528,Torsion,Curve 76,linear,Length 200
1,-0.0780282193157771,Curvature,Curve 76,linear,Length 200
2,-0.020899786994396433,Density,Curve 76,linear,Length 200
0,0.00252402103535332,Torsion,Curve 77,max,Length 200
1,-0.22801390069894076,Curvature,Curve 77,max,Length 200
2,0.40277143497546425,Density,Curve 77,max,Length 200
0,0.004292200306759015,Torsion,Curve 77,linear,Length 200
1,-0.08518612464998569,Curvature,Curve 77,linear,Length 200
2,-0.053949208058002525,Density,Curve 77,linear,Length 200
0,0.09252048661049839,Torsion,Curve 78,max,Length 200
1,-0.022958133553890973,Curvature,Curve 78,max,Length 200
2,0.19898161838179845,Density,Curve 78,max,Length 200
0,-0.026708468646655815,Torsion,Curve 78,linear,Length 200
1,-0.07379735515095122,Curvature,Curve 78,linear,Length 200
2,0.12825021387375127,Density,Curve 78,linear,Length 200
0,-0.08738077034948005,Torsion,Curve 79,max,Length 200
1,-0.17877511643002214,Curvature,Curve 79,max,Length 200
2,0.09786113346794958,Density,Curve 79,max,Length 200
0,0.05633426194331259,Torsion,Curve 79,linear,Length 200
1,-0.05652151770160702,Curvature,Curve 79,linear,Length 200
2,-0.25834992623499287,Density,Curve 79,linear,Length 200
0,0.10809044358767608,Torsion,Curve 80,max,Length 200
1,-0.1933243127977491,Curvature,Curve 80,max,Length 200
2,0.468847117395981,Density,Curve 80,max,Length 200
0,0.13396894926817832,Torsion,Curve 80,linear,Length 200
1,-0.09834625753998201,Curvature,Curve 80,linear,Length 200
2,0.06810004975730498,Density,Curve 80,linear,Length 200
0,-0.041898098304392006,Torsion,Curve 81,max,Length 200
1,-0.008911200085129542,Curvature,Curve 81,max,Length 200
2,0.4893066005525404,Density,Curve 81,max,Length 200
0,-0.018343666803377068,Torsion,Curve 81,linear,Length 200
1,-0.08490062908444021,Curvature,Curve 81,linear,Length 200
2,-0.04096549505657289,Density,Curve 81,linear,Length 200
0,0.18861828155951463,Torsion,Curve 82,max,Length 200
1,-0.25735507108192446,Curvature,Curve 82,max,Length 200
2,-0.11595237655734349,Density,Curve 82,max,Length 200
0,0.09708123775223045,Torsion,Curve 82,linear,Length 200
1,0.00416701481007269,Curvature,Curve 82,linear,Length 200
2,-0.19293477693822503,Density,Curve 82,linear,Length 200
0,0.10830130039878899,Torsion,Curve 83,max,Length 200
1,-0.13319885482886487,Curvature,Curve 83,max,Length 200
2,0.31280494865327557,Density,Curve 83,max,Length 200
0,0.06651442822779234,Torsion,Curve 83,linear,Length 200
1,-0.046575757329554136,Curvature,Curve 83,linear,Length 200
2,0.055848295777868276,Density,Curve 83,linear,Length 200
0,0.21749547699651964,Torsion,Curve 84,max,Length 200
1,-0.14272676428349873,Curvature,Curve 84,max,Length 200
2,0.14088878249618392,Density,Curve 84,max,Length 200
0,0.2008866542562698,Torsion,Curve 84,linear,Length 200
1,-0.1451761593227045,Curvature,Curve 84,linear,Length 200
2,0.11545527037565993,Density,Curve 84,linear,Length 200
0,0.020843078302693854,Torsion,Curve 85,max,Length 200
1,-0.12585756722772137,Curvature,Curve 85,max,Length 200
2,0.0874477954093741,Density,Curve 85,max,Length 200
0,-0.05221668336864349,Torsion,Curve 85,linear,Length 200
1,-0.04791024794215029,Curvature,Curve 85,linear,Length 200
2,-0.21860250390419256,Density,Curve 85,linear,Length 200
0,0.07979562899488189,Torsion,Curve 86,max,Length 200
1,-0.11456963477691502,Curvature,Curve 86,max,Length 200
2,0.20085981575670006,Density,Curve 86,max,Length 200
0,-0.0561024224451824,Torsion,Curve 86,linear,Length 200
1,-0.052270490507326725,Curvature,Curve 86,linear,Length 200
2,-0.1441768025122333,Density,Curve 86,linear,Length 200
0,0.190498362618225,Torsion,Curve 87,max,Length 200
1,-0.14774221955235525,Curvature,Curve 87,max,Length 200
2,0.1426362563824715,Density,Curve 87,max,Length 200
0,0.0926779489146556,Torsion,Curve 87,linear,Length 200
1,-0.10694998542724052,Curvature,Curve 87,linear,Length 200
2,-0.2003447569947793,Density,Curve 87,linear,Length 200
0,0.10996794903008932,Torsion,Curve 88,max,Length 200
1,-0.18699112142466118,Curvature,Curve 88,max,Length 200
2,-0.2836709383423884,Density,Curve 88,max,Length 200
0,0.07781869506756227,Torsion,Curve 88,linear,Length 200
1,-0.15411958751244137,Curvature,Curve 88,linear,Length 200
2,-0.4505993911988501,Density,Curve 88,linear,Length 200
0,0.10676549150336868,Torsion,Curve 89,max,Length 200
1,-0.12134982819042667,Curvature,Curve 89,max,Length 200
2,0.2653887674892812,Density,Curve 89,max,Length 200
0,-0.0318981592158901,Torsion,Curve 89,linear,Length 200
1,-0.05740900396076792,Curvature,Curve 89,linear,Length 200
2,-0.10558724133419366,Density,Curve 89,linear,Length 200
0,0.15500020129322808,Torsion,Curve 90,max,Length 200
1,-0.17342332034234814,Curvature,Curve 90,max,Length 200
2,-0.2724484221102289,Density,Curve 90,max,Length 200
0,0.14337239073635205,Torsion,Curve 90,linear,Length 200
1,-0.17135301467083186,Curvature,Curve 90,linear,Length 200
2,-0.5257661979604588,Density,Curve 90,linear,Length 200
0,0.026378520607516776,Torsion,Curve 91,max,Length 200
1,-0.16251415002538727,Curvature,Curve 91,max,Length 200
2,0.4000876304499495,Density,Curve 91,max,Length 200
0,0.07953986214693512,Torsion,Curve 91,linear,Length 200
1,-0.03954506646676679,Curvature,Curve 91,linear,Length 200
2,0.19294847997141126,Density,Curve 91,linear,Length 200
0,0.11699340750676762,Torsion,Curve 92,max,Length 200
1,-0.03391309128493084,Curvature,Curve 92,max,Length 200
2,0.012978946228471466,Density,Curve 92,max,Length 200
0,0.019083750426313623,Torsion,Curve 92,linear,Length 200
1,-0.0963732698502661,Curvature,Curve 92,linear,Length 200
2,-0.07851726955620182,Density,Curve 92,linear,Length 200
0,-0.06182129366841274,Torsion,Curve 93,max,Length 200
1,-0.1381215249971509,Curvature,Curve 93,max,Length 200
2,0.39121222596472754,Density,Curve 93,max,Length 200
0,-0.0814022493864436,Torsion,Curve 93,linear,Length 200
1,-0.04272497411210564,Curvature,Curve 93,linear,Length 200
2,0.2526226475907238,Density,Curve 93,linear,Length 200
0,0.16128699532809884,Torsion,Curve 94,max,Length 200
1,0.01258003201688034,Curvature,Curve 94,max,Length 200
2,0.09589738488273035,Density,Curve 94,max,Length 200
0,0.09833893261452704,Torsion,Curve 94,linear,Length 200
1,-0.021859180717564205,Curvature,Curve 94,linear,Length 200
2,0.21002468309583153,Density,Curve 94,linear,Length 200
0,0.052451914510444064,Torsion,Curve 95,max,Length 200
1,-0.06503284637368009,Curvature,Curve 95,max,Length 200
2,0.3180801366157987,Density,Curve 95,max,Length 200
0,-0.025102693506045357,Torsion,Curve 95,linear,Length 200
1,-0.03151007529330363,Curvature,Curve 95,linear,Length 200
2,0.1888750132253187,Density,Curve 95,linear,Length 200
0,-0.05824046307981676,Torsion,Curve 96,max,Length 200
1,0.06535882475179279,Curvature,Curve 96,max,Length 200
2,0.11998266000221318,Density,Curve 96,max,Length 200
0,-0.05079611945391498,Torsion,Curve 96,linear,Length 200
1,-0.015425382159823087,Curvature,Curve 96,linear,Length 200
2,-0.16589490804574653,Density,Curve 96,linear,Length 200
0,0.09343057473385276,Torsion,Curve 97,max,Length 200
1,-0.10886723425599297,Curvature,Curve 97,max,Length 200
2,0.48246828606976455,Density,Curve 97,max,Length 200
